Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio
akiriyavāda	p		masc	comp						(proponent of) doctrine of non-action; doctrine of inefficacy of action	(сторонник) доктрины бездействия; учения неэффективности действия				na > a + kiriya + vāda	akriyā + vāda					SN 22.62	niruttipathasuttaṃ	ye'pi te, bhikkhave, ahesuṃ ukkalā vassabhaññā ahetukavādā <b>akiriyavādā</b> natthikavādā																	akiriyavād	a masc	5			
akukkuka	p		adj			neg				straight; not crooked	прямой; не изогнутый		√kuñc 1 a (to bend, be crooked)		na > a + √kuñc > kukk + u + ka<br/>akukku + ka	na + kuṭika	√kuñc		(MNa) akukkukajātan'ti pupphaggahaṇakāle anto aṅguṭṭhappamāṇo eko ghanadaṇḍako nibbattati, tena virahitan'ti attho		SN 22.95	pheṇapiṇḍūpamasuttaṃ	so tattha passeyya mahantaṃ kadali-kkhandhaṃ ujuṃ navaṃ <b>akukkuka</b>-jātaṃ.																	akukkuk	a adj	5			
akukkukajāta	p		adj	comp		neg				growing straight up; not crooked	растущий прямо вверх; не кривой				na + kukkuka + jāta	na + kuṭika + jāta		akukkuṭakajāta, akukkajaṭajāta			SN 22.95	pheṇapiṇḍūpamasuttaṃ	so tattha passeyya mahantaṃ kadali-kkhandhaṃ ujuṃ navaṃ <b>akukkukajātaṃ</b>.																	akukkukajāt	a adj	5			
akukkuca 1	n		adj			neg				free from bad behaviour; free from wrongdoing	свободный от плохого поведения; без проступков		√kar 7 o (to do, make)		na > a + ku + √kar + ta	na + kukṛta	√kṛ		(SNPa) akukkuco'ti hatthakukkucādivirahito		SNP 48	purābhedasuttaṃ<br/>aṭṭhakavaggo 10	akkodhano asantāsī, avikatthī <b>akukkuco</b>,<br/>mantabhāṇī anuddhato, sa ve vācāyato muni.																	akukkuc	a adj	5			
akutobhaya	p		adj	comp		neg				nothing to fear from anywhere; with no reason for fear; lit. from nowhere fear	нечего не боящийся; без повода для страха; досл. из ниоткуда страх				na > a + kuto + bhaya	akutobhaya			(DHPa) n'atthi kutoci bhavato vā ārammaṇato vā etesaṃ bhayanti akutobhayā, te akutobhaye.		DHP 196	buddhavaggo	te tādise pūjayato, nibbute <b>akutobhaye</b>,<br/>na sakkā puññaṃ saṅkhātuṃ, im'ettam'api kenaci.																	akutobhay	a adj	5			
akuppa	s		adj		na kuppa	neg				unshakable; unwavering	непоколебимый; не дрогнувший		√kup 3 ya (to shake, be angry)		na + √kup + ya	akupyat	√kup										SN 56.11	dhammacakkappavattanasuttaṃ	ñāṇañ’ca pana me dassanaṃ udapādi — ‘<b>akuppā</b> me vimutti, ayam’antimā jāti, n’atthi-dāni punabbhavo’ti.	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings							17n	akupp	a adj	5			
akuppamāna	p		prp		kuppati	neg	pass	intrans	+instr	not being shaken (by); not being disturbed (by); not being agitated (by)	не трясущийся; не беспокоящийся; не волнующийся		√kup 3 ya (to shake, be angry)	√kup + ya > kuppa (pass)	na > a + kuppa + māna<br/>na + kuppamāna	na + kup	√kup				MN 140	dhātuvibhaṅgasuttaṃ	tañ'hi'ssa, bhikkhu, n'atthi yena jāyetha, ajāyamāno kiṃ jīyissati, ajīyamāno kiṃ mīyissati, amīyamāno kiṃ kuppissati, <b>akuppamāno</b> kissa pihessati?																	akuppa	māna prp	5			
akubbato	pp		prp	dat sg	kubbanta	neg		trans	+acc	for one not doing (something)	для того кто не делает (что-то)		√kar 7 o (to do, make)	√kar + o > kubba (irreg)	na > a + kubba + nta + to<br/>akubbanta + to	akurvate	√kṛ			Kacc 512, 522 (kar > kubb)	DHP 051	pupphavaggo	yathā'pi ruciraṃ pupphaṃ, vaṇṇavantaṃ agandhakaṃ,<br/>evaṃ subhāsitā vācā, aphalā hoti <b>akubbato</b>.				DHP 124	pāpavaggo	pāṇimhi ce vaṇo n'āssa, hareyya pāṇinā visaṃ,<br/>n'ābbaṇaṃ visam'anveti, n'atthi pāpaṃ <b>akubbato</b>.											!akubb	anta prp	5			
akubbanta	p		prp		na kubbati	neg		trans	+acc	not doing; not making	не делающий; не совершающий		√kar 7 o (to do, make)	√kar + o > kubba (irreg)	na + kubba + nta<br/>na + kubbanta	akurvat	√kṛ				SNP 47	māgaṇḍiyasuttaṃ<br/>aṭṭhakavaggo 9	okaṃ pahāya aniketasārī, gāme <b>akubbaṃ</b> muni santhavāni, <br/>kāmehi ritto apurekkharāno, kathaṃ na viggayha janena kayirā.																	akubb	anta prp	5			
akubbamāna	pp		prp		kubbati	neg		trans	+acc	not doing; not making; not creating	не делающий; не совершающий; не создающий		√kar 7 o (to do, make)	√kar + o > kubba (irreg)	na > a + kubba + māna<br/>na + kubbamāna	akurvat	√kṛ			Kacc 512, 522 (kar > kubb)	SNP 40	guhaṭṭhakasuttaṃ<br/>aṭṭhakavaggo 2	mamāyite passatha phandamāne, macche'va app'odake khīṇasote,<br/>etam'pi disvā amamo careyya, bhavesu āsattim'<b>akubbamāno</b>.				SNP 40	guhaṭṭhakasuttaṃ<br/>aṭṭhakavaggo 2	ubhosu antesu vineyya chandaṃ, phassaṃ pariññāya anānugiddho,<br/>yad'attagarahī tad'<b>akubbamāno</b>, na lippatī diṭṭhasutesu dhīro.											akubba	māna prp	5			
akusalavitakka	p		masc	comp		neg				unhealthy thinking; unwholesome thought; unskilful thinking	нездоровое мышление; не благая мысль; неумелое мышление				na > a + kusala + vitakka	akuśala + vitarka					SN 22.80	piṇḍolyasuttaṃ	tayo'me, bhikkhave, <b>akusalavitakkā</b> — kāmavitakko, byāpādavitakko, vihiṃsāvitakko.																	akusalavitakk	a masc	5			
akusala 1	ss		adj		na kusala	neg				unbeneficial; useless; unskilful	бесполезный; неумелый; неискусный				na + kusala	akuśala											SN 12.22	dutiyadasabalasuttaṃ	dukkhaṃ, bhikkhave, kusīto viharati vokiṇṇo pāpakehi <b>akusalehi</b> dhammehi, mahantañ’ca sadatthaṃ parihāpeti.	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	DN 22.18	mahāsatipaṭṭhānasuttaṃ	bhikkhu anuppannānaṃ pāpakānaṃ <b>akusalānaṃ</b> dhammānaṃ anuppādāya chandaṃ janeti vāyamati vīriyaṃ ārabhati cittaṃ paggaṇhāti padahati	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	28n	akusal	a adj	5	11	1236	
akuhaka	n		masc	agent	kuheti	neg				who is honest; who is not deceitful; who is straight-forward	тот кто честен; кто не обманывает; кто прямой		√kuh 8 *e (to deceive)		na > a + √kuh + aka	akuhaka	√kuh				SNP 48	purābhedasuttaṃ<br/>aṭṭhakavaggo 10	patilīno <b>akuhako</b>, apihālu amaccharī,<br/>appagabbho ajeguccho, pesuṇeyye ca no yuto.																	akuhak	a masc	5			
akevalī	n		adj		akevala	neg				imperfect; incomplete; not an adept	несовершенный; неполный; не искусный				na > a + kevala + ī<br/>akevala + ī	akevalin					SNP 50	cūḷabyūhasuttaṃ<br/>aṭṭhakavaggo 12	sakaṃ sakaṃ diṭṭhiparibbasānā, viggayha nānā kusalā vadanti,<br/>yo evaṃ jānāti sa vedi dhammaṃ, idaṃ paṭikkosam<b>'akevalī</b> so.																	akeval	ī adj	5			
akovida	p		adj		na kovida	neg			+gen	unskilled (in); not expert (in); not proficient (in); not a master (of)	не обученный (в); не эксперт (в); не специалист (в); не мастер (в)		√vid 1 a (to know)		na + ku + √vid + a	kovida	√vid				SN 22.1	nakulapitusuttaṃ	idha, gahapati, assutavā puthujjano ariyānaṃ adassāvī ariyadhammassa <b>akovido</b> ariyadhamme avinīto sappurisānaṃ adassāvī sappurisadhammassa <b>akovido</b> sappurisadhamme avinīto																	akovid	a adj	5			
akkocchi	p		aor		akkosati			trans	+acc	verbally abused	бранил; оскорбил		√kus 1 a (to call, insult)	√kus + *a > koccha	ā + koccha + i	akrukṣat	√kruś				DHP 003	yamakavaggo	<b>akkocchi</b> maṃ avadhi maṃ, ajini maṃ ahāsi me.<br/>ye ca taṃ upanayhanti, veraṃ tesaṃ na sammati.																	akkocch	i aor	5			
akkodha	pp		masc		na kodha	neg				freedom from anger; absence of anger; meekness; lit. non-anger	свобода от гнева; отсутствие гнева; мягкость; досл. не гнев		√kudh 3 ya (to be angry)		na + √kudh > kodh + *a	akrodha	√krudh				MN 8	sallekhasuttaṃ	vicikicchissa purisapuggalassa tiṇṇavicikicchatā hoti parinibbānāya. kodhanassa purisapuggalassa <b>akkodho</b> hoti parinibbānāya.				DHP 223	kodhavaggo	<b>akkodhena</b> jine kodhaṃ, asādhuṃ sādhunā jine,<br/>jine kadariyaṃ dānena, saccen'ālikavādinaṃ.											akkodh	a masc	5			
akkodhana	pp		adj		na kujjhati	neg				without anger; friendly; well disposed	беззлобный; свободный от гнева; дружелюбный; хорошо расположенный		√kudh 3 ya (to be angry)		na + √kudh > kodh + *ana	akrodhana	√krudh				AN 10.51	sacittasuttaṃ	vicikiccho vā tiṇṇa-vicikiccho nu kho bahulaṃ viharāmi? <br/>kodhano vā <b>akkodhano</b> nu kho bahulaṃ viharāmi? <br/>saṃkiliṭṭha-citto vā asaṃkiliṭṭha-citto nu kho bahulaṃ viharāmi?				DHP 400	brāhmaṇavaggo	<b>akkodhanaṃ</b> vatavantaṃ, sīlavantaṃ anussadaṃ,<br/>dantaṃ antimasārīraṃ, tam'ahaṃ brūmi brāhmaṇaṃ.											akkodhan	a adj	5			
akkosa	pp	5	masc		akkosati					verbal abuse; insult	брань; оскорбление		√kus 1 a (to call, insult)		ā + √kus > kos + *a	ākrośa	√kruś										DHP 399	brāhmaṇavaggo	<b>akkosaṃ</b> vadhabandhañ'ca, aduṭṭho yo titikkhati,<br/>khantībalaṃ bal'ānīkaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.				MN 82	raṭṭhapālasuttaṃ	atha kho āyasmā raṭṭhapālo sakapitu nivesane n’eva dānaṃ alattha na paccakkhānaṃ, añña'd'atthu <b>akkosam</b>’eva alattha					akkos	a masc	5	5	34	[sound:akkosa.mp3]
akkosati	p		pr					trans	+acc	verbally abuses; insults	словесно оскорбляет; обижает		√kus 1 a (to call, insult)	√kus + *a > kosa	ā + kosa + ti	ākrośati	√kruś				SN 35.88	puṇṇasuttaṃ	sace taṃ, puṇṇa, sunāparantakā manussā <b>akkosissanti</b> paribhāsissanti, tatra te, puṇṇa, kin’ti bhavissatī”ti?																	akkos	ati pr	5	3	101	
akkhaṇavedhī	p		adj	agent, comp						sharp-shooter; lit. target piercing	метко стреляющий; досл. пробивающий цель				akkhaṇa + vedhī	ākhaṇa + vyādhin			(ANa) akkhaṇavedhī'ti avirādhitavedhī, akkhaṇaṃ vā vijju vijjantarikāya vijjhituṃ samattho'ti attho<br/>(ANa) avirādhitaṃ vijjhatī'ti akkhaṇavedhī.		AN 9.36	jhānasuttaṃ	seyyathāpi, bhikkhave, issāso vā issās'antevāsī vā tiṇapurisarūpake vā mattikāpuñje vā yoggaṃ karitvā, so aparena samayena dūrepātī ca hoti <b>akkhaṇavedhī</b> ca mahato ca kāyassa padāletā.																	akkhaṇavedh	ī adj	5			
akkhaṇa 1	p		masc							target; mark; butt	цель; отметка; мишень					ākhaṇa					AN 9.36	jhānasuttaṃ	seyyathāpi, bhikkhave, issāso vā issās'antevāsī vā tiṇapurisarūpake vā mattikāpuñje vā yoggaṃ karitvā, so aparena samayena dūrepātī ca hoti <b>akkhaṇa</b>-vedhī ca mahato ca kāyassa padāletā.																	akkhaṇ	a masc	5			
akkhadhutta 1	p		masc	comp						gambler; who is addicted to gambling; lit. corrupted with dice	игрок; пристрастившийся к азартным играм; досл. испорченный игрой в кости				akkha + dhutta	akṣadhūrta					MN 129	bālapaṇḍitasuttaṃ	appamattako so, bhikkhave, kaṭaggaho yaṃ so <b>akkhadhutto</b> paṭhamen’eva kaṭaggahena mahantaṃ bhogakkhandhaṃ adhigaccheyya. 																	akkhadhutt	a masc	5			
akkhama	ps		adj		na khama	neg			+dat	impatient (with); intolerant (of); not able to endure	нетерпеливый; нетерпимый (к); неспособный вынести		√kham 1 a (to tolerate, endure)		na + √kham + a	akṣama	√kṣam				AN 5.113	sammāsamādhisuttaṃ	idha, bhikkhave, bhikkhu <b>akkhamo</b> hoti rūpānaṃ, <b>akkhamo</b> saddānaṃ, <b>akkhamo</b> gandhānaṃ, <b>akkhamo</b> rasānaṃ, <b>akkhamo</b> phoṭṭhabbānaṃ.				Trad		mār’ātirekam’abhiyujjhita-sabba-rattiṃ, ghoram’pan’āḷavakam’<b>akkhama</b>-thaddha-yakkhaṃ, khantī-sudanta-vidhinā jitavā mun’indo.	Jaya-maṅgala-aṭṭha-gāthā		Protective Recitations							60n	akkham	a adj	5			
akkhara 2	pp		nt		khara	neg				word; sound; syllable; lit. indestructible	слово; звук; слог; досл. нерушимый		√khar 1 a (to perish, break apart)		na > a + √khar + a	akṣara	√kṣar				DHP 352	taṇhāvaggo	vītataṇho anādāno, niruttipadakovido,<br/><b>akkharānaṃ</b> sannipātaṃ, jaññā pubb'āparāni ca,<br/>sa ve antimasārīro mahāpañño, mahāpuriso'ti vuccati.				SN 20.7	āṇisuttaṃ	ye pana te sutt'antā kavikatā kāveyyā citt'<b>akkharā</b> cittabyañjanā bāhirakā sāvakabhāsitā, tesu bhaññamānesu sussūsissanti, sotaṃ odahissanti											akkhar	a nt	5			
akkhāta	ps		pp		akkhāti					announced; told; declared	объявленный; сказанный; провозглашенный		√khā 1 a (to tell, announce)		ā + √khā + ta	akṣata	√khyā				SN 22.95	pheṇapiṇḍūpamasuttaṃ	etādis’āyaṃ santāno, māy’āyaṃ bālalāpinī, <br/>vadhako esa <b>akkhāto</b>, sāro ettha na vijjati.				DHP 086	paṇḍitavaggo	ye ca kho sammad-<b>akkhāte</b>, dhamme dhamm’ānuvattino, <br/>te janā pāram’essanti, maccudheyyaṃ suduttaraṃ.	Ti-lakkhaṇā	The Three Characteristics	Verses							10n	akkhāt	a pp	5	11	223	
akkhātabba	p		ptp		akkhāti				+instr	to be spoken (about); to be declared (by); lit. to be said (by)	следует говорить (о); может быть объявленным; досл. может быть сказан		√khā 1 a (to tell, announce)		ā + √khā + tabba	ākhyātavya	√khyā				AN 9.36	jhānasuttaṃ	jhāyīh'ete, bhikkhave, samāpattikusalehi samāpattivuṭṭhānakusalehi samāpajjitvā vuṭṭhahitvā sammā <b>akkhātabbānī</b>'ti vadāmī'ti.																	akkhātabb	a ptp	5			
akkhātar	ps		masc	agent	akkhāti					speaker; who tells	говорящий; который говорит		√khā 1 a (to tell, announce)		ā + √khā + tar	ākhyātṛ	√khyā			akkhātā is m nom sg	DHP 276	maggavaggo	tumhehi kiccam'ātappaṃ, <b>akkhātāro</b> tathāgatā,<br/>paṭipannā pamokkhanti, jhāyino mārabandhanā.				MN 51	kandarakasuttaṃ	pisuṇaṃ vācaṃ pahāya pisuṇāya vācāya paṭivirato hoti, ito sutvā na amutra <b>akkhātā</b> imesaṃ bhedāya, amutra vā sutvā na imesaṃ <b>akkhātā</b> amūsaṃ bhedāya	Anupubba-sikkhā	The Gradual Training	Teachings							18n	akkhāt	ar masc	5	6	55	
akkhāti	p		pr					trans	+acc	says; tells; explains	говорит; рассказывает; объясняет		√khā 1 a (to tell, announce)	√khā + a > khā	ā + khā + ti	ākhyāti	√khyā				SNP 63	hemaka māṇava pucchā<br/>pārāyanavaggo 8	tvañ'ca me dhammam'<b>akkhāhi</b>, taṇhānigghātanaṃ muni,<br/>yaṃ viditvā sato caraṃ, tare loke visattikaṃ.																	akkh	āti pr	5	3	149	
akkhāna 1	ps		nt	act	akkhāti					announcing; telling	объявление; название; указывание		√khā 1 a (to tell, announce)		ā + √khā + na	ākhyāna	√khyā				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	chanda-parisuddhi, utu’<b>kkhānaṃ</b>, bhikkhu-gaṇanā ca, ovādo - uposathassa etāni pubbakiccan'ti vuccati.				PAT PK	dhammayuttika-pubbakicca	utu-<b>akkhānañ</b>'ca; bhikkhugaṇanā'ca; bhikkhunīnam'ovādo cā'ti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	akkhān	a nt	5			
akkhāya	n		ger		akkhāti			trans	+acc	saying; speaking; declaring; announcing	говоря; рассказывая; объявляя; заявляя		√khā 1 a (to tell, announce)		ā + √khā + ya	ākhyā́ya	√khyā				SNP 46	pasūrasuttaṃ<br/>aṭṭhakavaggo 8	pasaṃsito vā pana tattha hoti, <b>akkhāya</b> vādaṃ parisāya majjhe,<br/>so hassatī uṇṇamatī ca tena, pappuyya tam'atthaṃ yathā mano ahu.																	-		5			
akkhāyati	p		pr	pass	akkhāti			intrans		is considered; is said to be	считается; называется		√khā 1 ya (to tell, announce)	√khā + ya > khāya (pass)	ā + khāya + ti	ākhyāyate	√khyā				SN 22.102	aniccasaññāsuttaṃ	seyyathā'pi bhikkhave ye keci pupphagandhā vassikaṃ tesaṃ aggam'<b>akkhāyati</b>																	akkhāy	ati pr	5			
akkhāyikā	p		fem		akkhāti					tale; story; narrative	рассказ; история; повествование		√khā 1 a (to tell, announce)		ā + √khā + [y] + ikā	ākhyāyikā	√khyā				DN 2.14	sāmaññaphalasuttaṃ	itthi-kathaṃ sūra-kathaṃ visikhā-kathaṃ kumbhaṭṭhāna-kathaṃ pubbapeta-kathaṃ nānatta-kathaṃ lok’<b>akkhāyikaṃ</b> samuddakkhāyikaṃ iti’bhav’ābhava-kathaṃ																	akkhāyik	ā fem	5			
akkhāyī	ps		adj		akkhāti					asserting; declaring; saying; announcing	утверждающий; заявляющий; говорящий; объявляющий		√khā 1 a (to tell, announce)		ā + √khā + [y] + ī	ākhyāyin	√khyā				SN 22.2	devadahasuttaṃ	paṇḍitā h’āvuso, manussā vīmaṃsakā — ‘kismiṃ pan’āyasmantānaṃ chandarāga-vinay’<b>akkhāyī</b> satthā’ti? - ‘rūpe … vedanāya … saññāya … sankhāresu … viññāṇe chandarāga-vinay’akkhāyī satthā’ti.				MN 107 (simpl)	gaṇakamoggallānasuttaṃ	tiṭṭhat’eva nibbānaṃ, tiṭṭhati nibbānagāmī maggo, magg’<b>akkhāyī</b>’haṃ tathāgato	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses							15n	akkhāy	ī adj	5			
akkhāsi	p		aor		akkhāti			trans	+acc	said; told; stated; declared	сказал; рассказал; заявил; объявил		√khā 1 a (to tell, announce)		ā + √khā + si	ā + akhyat	√khyā				MN 75	māgaṇḍiyasuttaṃ	evaṃ vutte, bhāradvājagotto brāhmaṇo saṃviggo lomahaṭṭhajāto bhagavantaṃ etad'avoca, etad'eva kho pana mayaṃ bhoto gotamassa ārocetu'kāmā. atha ca pana bhavaṃ gotamo anakkhātaṃ'y'eva <b>akkhāsī</b>'ti.																	akkh	āsi aor	5			
